Clan,Name,Class,ParagonLvl,CombatRating,Status,Resonance,DMG,HP,Image,Contribution
AftershockUnitedSilver,Ellasis,Necromancer,106,1865,True,465,4011,40276,image,610
AftershockUnitedPrime,LadyAnarchy,Necromancer,112,2635,True,405,4058,50991,image,500
,x211187x,,,,False,,,,,
AftershockUnitedGold,Animatronio,Barbarian,119,3129,True,2130,6548,78793,image,700
AftershockUnitedSilver,Varadin,Wizard,114,1992,True,455,3891,41886,image,720
AftershockUnitedSilver,Solara,Monk,106,1883,True,465,3652,47576,image,720
AftershockUnitedSilver,Nasher27,Wizard,89,1289,True,300,3193,42462,image,740
,Jaxslayer,,,,False,,,,,
AftershockUnitedSilver,Deizel,Monk,105,1909,True,815,4275,48205,image,440
AftershockUnitedGold,ChillyMcFreeze,Crusader,112,2500,True,450,3829,51691,image,680
AftershockUnitedSilver,BlackSoul,Necromancer,111,2065,True,270,3273,44822,image,590
AftershockUnitedPrime,Taiyo,Demon Hunter,108,2511,True,898,4205,51507,image,760
AftershockUnitedPrime,XTREME,Monk,113,2668,True,889,4799,56685,image,635
AftershockUnitedGold,Jebe90,Necromancer,10,2349,True,620,3975,53987,image,690
AftershockUnitedPrime,UltimaDeath,Demon Hunter,112,2606,True,870,4324,53255,image,530
AftershockUnitedSilver,TBONE21CRU,Crusader,114,1918,True,360,3860,42536,image,720
AftershockUnitedPrime,Zuizide,Monk,116,2560,True,555,4396,51694,image,730
AftershockUnitedGold,DragnGrind,Necromancer,126,3077,True,1114,5569,58544,image,785
AftershockUnitedPrime,Jaihan,Necromancer,117,2529,True,345,3954,43012,image,620
,GRINREAPER,,,,False,,,,,
AftershockUnitedGold,Grot,Crusader,117,2655,True,420,3132,52037,image,900
AftershockUnitedGold,Bone,Barbarian,122,2639,True,455,3879,45272,image,760
AftershockUnitedGold,EarthShokk,Demon Hunter,124,2614,True,595,4415,53642,image,570
AftershockUnitedPrime,MDS,Crusader,118,2707,True,934,5238,56808,image,730
AftershockUnitedGold,Karbon,Demon Hunter,111,2472,True,450,4214,47128,image,395
AftershockUnitedGold,Keileigh,Demon Hunter,12,2752,True,590,4301,45082,image,745
AftershockUnitedGold,Pandami,Wizard,95,2094,True,410,3926,46028,image,420
AftershockUnitedGold,Wolfymelo,Demon Hunter,112,2645,True,1160,4541,58885,image,500
AftershockUnitedPrime,Josiah,Monk,127,3097,True,990,4893,52015,image,600
AftershockUnitedSilver,Onyxgem,Barbarian,97,1646,True,255,3534,38109,image,600
AftershockUnitedGold,MaxRiptinNecro,Necromancer,103,1730,True,600,4063,43095,image,740
,B1tchPLZ,,,,False,,,,,
AftershockUnitedGold,Drogor,Wizard,113,2418,True,570,4296,45280,image,740
AftershockUnitedSilver,Lugh,Monk,118,2717,True,495,3432,54529,image,755
AftershockUnitedSilver,Arjun,Monk,110,2532,True,565,4776,50521,image,370
AftershockUnitedGold,WhoIsAbk,Necromancer,111,2429,True,1050,4277,55143,image,610
AftershockUnitedPrime,RoachKiN,Necromancer,116,2663,True,465,3976,51085,image,680
AftershockUnitedGold,Bingus,Crusader,114,2679,True,1546,5573,64248,image,770
AftershockUnitedGold,Hughes2020,Crusader,106,2007,True,525,3681,52270,image,740
